second,IDLE_TIMEOUT=1,IDLE_TIMEOUT=2,IDLE_TIMEOUT=4
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,4,4,4
8,0,0,0
9,4,4,0
10,0,0,0
11,4,5,0
12,0,0,0
13,6,6,6
14,4,0,0
15,6,6,0
16,5,0,0
17,6,6,0
18,4,0,0
19,7,0,0
20,4,0,0
21,6,0,0
22,5,0,0
23,6,0,0
24,4,0,0
25,6,0,0
26,4,0,0
27,6,0,0
28,4,0,0
29,6,0,0
30,5,0,0
31,6,0,0
32,4,0,0
33,7,0,0
34,4,0,0
35,6,0,0
36,4,0,0
37,6,0,0
38,5,0,4
39,7,0,0
40,4,0,0
41,6,0,0
42,4,0,0
43,6,0,6
44,4,4,0
45,6,0,0
46,4,0,0
47,7,0,0
48,4,0,0
49,6,7,0
50,4,0,0
51,6,0,0
52,4,4,0
53,7,0,0
54,4,4,0
55,6,0,0
56,4,0,0
57,4,6,0
58,6,0,0
59,0,6,0
60,11,0,0
61,0,0,0
62,10,0,0
63,0,0,0
64,11,0,0
65,0,0,0
66,10,0,0
67,0,0,0
68,6,0,0
69,5,0,0
70,6,0,5
71,4,0,0
72,7,4,0
73,4,0,0
74,6,0,0
75,4,0,6
76,7,4,0
77,4,6,0
78,7,0,0
79,4,0,0
80,7,0,0
81,5,4,0
82,6,0,0
83,4,0,0
84,7,0,0
85,4,0,0
86,6,0,0
87,4,0,0
88,6,0,0
89,4,0,0
90,7,0,0
91,4,0,0
92,6,0,0
93,4,0,0
94,6,0,0
95,5,0,0
96,6,0,0
97,4,0,0
98,7,0,0
99,4,0,0
100,6,0,0
101,5,0,0
102,6,0,4
103,4,0,0
104,6,4,0
105,4,0,0
106,6,0,0
107,4,0,1
108,6,0,6
109,4,0,0
110,7,7,0
111,5,0,0
112,3,4,0
113,7,0,0
114,0,4,0
115,11,0,0
116,0,4,0
117,10,0,0
118,0,9,0
119,12,0,0
120,0,10,0
121,10,0,0
122,0,10,0
123,11,0,0
124,0,8,0
125,10,2,0
126,0,6,0
127,6,4,0
128,4,7,0
129,6,4,0
130,4,4,0
131,6,4,0
132,5,6,0
133,6,0,0
134,5,7,0
135,6,0,4
136,4,4,0
137,6,0,0
138,4,0,0
139,6,0,0
140,5,0,7
141,6,0,0
142,4,0,0
143,6,0,0
144,4,0,0
145,6,0,0
146,4,0,0
147,6,0,0
148,5,0,0
149,6,0,0
150,4,0,0
151,6,0,0
152,4,0,0
153,6,0,0
154,4,0,0
155,6,0,0
156,4,0,0
157,6,0,0
158,4,0,0
159,6,0,0
160,4,0,0
161,6,4,0
162,5,0,0
163,6,4,0
164,4,0,0
165,7,4,0
166,4,7,0
167,6,4,4
168,4,6,0
169,4,4,0
170,6,7,0
171,0,4,0
172,11,4,6
173,0,4,0
174,11,6,0
175,0,4,0
176,11,6,0
177,0,4,0
178,10,7,0
179,0,0,0
180,11,7,0
181,0,0,0
182,8,0,0
183,2,6,0
184,7,0,0
185,4,0,0
186,6,0,0
187,4,0,0
188,6,0,0
189,5,0,0
190,6,0,0
191,4,0,0
192,6,0,0
193,5,0,0
194,6,0,0
195,4,0,0
196,7,0,0
197,4,0,0
198,6,0,0
199,4,0,4
200,6,0,0
201,4,0,0
202,7,0,0
203,4,4,0
204,6,0,6
205,4,0,0
206,6,0,0
207,4,0,0
208,6,0,0
209,5,6,0
210,6,0,0
211,4,0,0
212,6,0,0
213,4,0,0
214,6,0,0
215,4,0,0
216,7,0,0
217,5,0,0
218,6,0,0
219,4,0,0
220,6,0,0
221,4,0,0
222,6,0,0
223,5,0,0
224,6,0,0
225,5,0,0
226,0,0,0
227,10,0,0
228,0,0,0
229,11,0,0
