second,No_of_Packets
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,0
9,4
10,0
11,4
12,0
13,6
14,4
15,6
16,5
17,6
18,4
19,7
20,4
21,6
22,5
23,6
24,4
25,6
26,4
27,6
28,4
29,6
30,5
31,6
32,4
33,7
34,4
35,6
36,4
37,6
38,5
39,7
40,4
41,6
42,4
43,6
44,4
45,6
46,4
47,7
48,4
49,6
50,4
51,6
52,4
53,7
54,4
55,6
56,4
57,4
58,6
59,0
60,11
61,0
62,10
63,0
64,11
65,0
66,10
67,0
68,6
69,5
70,6
71,4
72,7
73,4
74,6
75,4
76,7
77,4
78,7
79,4
80,7
81,5
82,6
83,4
84,7
85,4
86,6
87,4
88,6
89,4
90,7
91,4
92,6
93,4
94,6
95,5
96,6
97,4
98,7
99,4
100,6
101,5
102,6
103,4
104,6
105,4
106,6
107,4
108,6
109,4
110,7
111,5
112,3
113,7
114,0
115,11
116,0
117,10
118,0
119,12
120,0
121,10
122,0
123,11
124,0
125,10
126,0
127,6
128,4
129,6
130,4
131,6
132,5
133,6
134,5
135,6
136,4
137,6
138,4
139,6
140,5
141,6
142,4
143,6
144,4
145,6
146,4
147,6
148,5
149,6
150,4
151,6
152,4
153,6
154,4
155,6
156,4
157,6
158,4
159,6
160,4
161,6
162,5
163,6
164,4
165,7
166,4
167,6
168,4
169,4
170,6
171,0
172,11
173,0
174,11
175,0
176,11
177,0
178,10
179,0
180,11
181,0
182,8
183,2
184,7
185,4
186,6
187,4
188,6
189,5
190,6
191,4
192,6
193,5
194,6
195,4
196,7
197,4
198,6
199,4
200,6
201,4
202,7
203,4
204,6
205,4
206,6
207,4
208,6
209,5
210,6
211,4
212,6
213,4
214,6
215,4
216,7
217,5
218,6
219,4
220,6
221,4
222,6
223,5
224,6
225,5
226,0
227,10
228,0
229,11
230,0
231,11
232,0
233,10
234,0
235,10
236,0
237,11
238,0
239,6
240,4
241,6
242,5
243,6
244,4
245,6
246,4
247,6
248,4
249,6
250,4
251,7
252,4
253,6
254,4
255,6
256,4
257,7
258,5
259,7
260,5
261,6
262,4
263,6
264,4
265,6
266,5
267,6
268,4
269,6
270,4
271,6
272,4
273,6
274,4
275,6
276,4
277,6
278,4
279,6
280,5
281,0
282,10
283,0
284,10
285,0
286,11
287,0
288,11
289,0
290,11
291,0
292,6
293,4
294,6
295,5
296,6
297,4
298,6
299,4
300,6
301,4
302,6
303,4
304,7
305,4
306,6
307,4
308,6
309,4
310,6
311,4
312,7
313,4
314,7
315,4
316,7
317,4
318,6
319,4
320,7
321,5
322,7
323,4
324,6
325,5
326,6
327,4
328,6
329,4
330,6
331,4
332,7
333,4
334,6
335,5
336,3
337,7
338,0
339,10
340,0
341,11
342,0
343,10
344,0
345,10
346,0
347,10
348,0
349,6
350,4
351,6
352,4
353,6
354,4
355,6
356,4
357,6
358,4
359,7
360,4
361,7
362,4
363,6
364,4
365,6
366,4
367,6
368,4
369,7
370,4
371,7
372,4
373,7
374,4
375,6
376,4
377,6
378,4
379,6
380,4
381,6
382,4
383,6
384,4
385,6
386,4
387,6
388,4
389,6
390,4
391,6
392,4
393,6
394,5
395,5
396,5
397,0
398,10
399,0
400,10
401,0
402,10
403,0
404,10
405,0
406,10
407,0
408,9
409,1
410,6
411,4
412,6
413,4
414,6
415,4
416,6
417,4
418,6
419,4
420,6
421,4
422,7
423,5
424,7
425,4
426,6
427,4
428,6
429,4
430,6
431,4
432,6
433,5
434,6
435,4
436,6
437,5
438,6
439,4
440,6
441,5
442,6
443,4
444,7
445,5
446,6
447,4
448,6
449,4
450,6
451,4
452,7
453,4
454,6
455,4
456,2
457,9
458,0
459,11
460,0
461,10
462,0
463,11
464,0
465,10
466,0
467,11
468,0
469,9
470,1
471,6
472,4
473,6
474,4
475,6
476,5
477,6
478,4
479,6
480,5
481,6
482,5
483,6
484,5
485,6
486,5
487,7
488,4
489,6
490,5
491,6
492,4
493,7
494,4
495,6
496,4
497,6
498,5
499,7
500,4
501,6
502,4
503,6
504,5
505,6
506,5
507,6
508,5
509,6
510,4
511,6
512,4
513,6
514,4
515,5
516,6
517,0
518,11
519,0
520,10
521,0
522,10
523,0
524,11
525,0
526,10
527,0
528,6
529,4
530,7
531,4
532,7
533,5
534,6
535,5
536,6
537,4
538,7
539,4
540,6
541,5
542,6
543,5
544,6
545,4
546,6
547,4
548,6
549,4
550,6
551,4
552,7
553,4
554,6
555,4
556,7
557,4
558,7
559,4
560,7
561,4
562,6
563,4
564,7
565,4
566,7
567,4
568,6
569,4
570,7
571,4
572,6
573,4
574,2
575,8
576,0
577,11
578,0
579,10
580,0
581,10
582,0
583,11
584,0
585,11
586,0
587,9
588,1
589,6
590,4
591,7
592,4
593,6
594,4
595,6
596,4
597,6
598,4
599,6
600,4
